#,population,h,ce3,c4,cl3,cl6,ce6,lb1,lb2,lb3,lb4,hl,el,c,1,2,3,4,5,6,7,8,9,10,11,l2b1,l2b2,l2b3,l2b4,l6b1,l6b2,l6b3,l6b4,Std h,Std ce3,Std c4,Std cl3,Std cl6,Std ce6,Std lb1,Std lb2,Std lb3,Std lb4,Std hl,Std el,Std c,Std 1,Std 2,Std 3,Std 4,Std 5,Std 6,Std 7,Std 8,Std 9,Std 10,Std 11,Std l2b1,Std l2b2,Std l2b3,Std l2b4,Std l6b1,Std l6b2,Std l6b3,Std l6b4
C39,C,7.73,5.67,2.15,3.58,3.06,5.21,0.4,0.28,0.66,0.21,0.85,0.66,0.24,0.23,0.38,0.35,0.53,0.23,0.27,0.3,0.23,0.27,0.33,0.32,0.21,0.45,0.43,0.1,0.23,0.62,0.09,0.6,-0.912082466,-1.725779493,-0.481093647,-1.60470498,-1.413798232,-1.546430293,2.1411072308,-1.487023022,1.2593152366,-0.365584091,-2.022829494,-0.190479461,-0.183930743,0.0798956339,1.4968718085,1.0852037737,2.9679273226,-0.366864044,1.3694295775,0.9674699378,1.2145953588,1.0269858919,0.2993836841,1.1319768527,-0.077435528,0.0243263324,1.1884201206,-0.708982922,-0.568277023,-0.963348279,-2.266600857,5.1628606385
C40,C,7.28,5.93,1.8,3.6,2.99,5.37,0.21,0.44,0.62,0.23,1.06,0.63,0.18,0.23,0.45,0.33,0.28,0.28,0.17,0.26,0.12,0.29,0.35,0.27,0.24,0.56,0.33,0.1,0.25,0.74,0.71,0.12,-1.642349481,-1.283869151,-1.639395549,-1.569544068,-1.551109572,-1.255274099,-0.434245663,-0.025375819,1.0529327699,-0.25916069,0.2551135509,-0.518752575,-0.804697001,0.0798956339,2.3593985519,0.8571843038,0.4175123732,0.1234987872,0.0321927387,0.478070625,-0.139006223,1.2644901239,0.465196186,0.5373586616,0.2616065123,0.7124140207,0.4938888813,-0.708982922,-0.38615857,-0.340344602,0.607861139,-0.124430857
C41,C,7.79,5.72,1.82,3.67,3.15,5.39,0.24,0.31,0.63,0.14,1,0.65,0.24,0.22,0.33,0.4,0.3,0.38,0.17,0.28,0.16,0.26,0.37,0.33,0.17,0.59,0.43,0.04,0.3,0.77,0.87,0.06,-0.81471353,-1.640796735,-1.573206869,-1.446480874,-1.237255082,-1.218879575,-0.027610996,-1.212964171,1.1045283866,-0.738065996,-0.395727319,-0.299903832,-0.183930743,-0.03072909,0.8807812776,1.6552524486,0.6215455691,1.10422445,0.0321927387,0.7227702814,0.353212534,0.908233776,0.6310086879,1.250900491,-0.529491581,0.9000742993,1.1884201206,-1.365298542,0.0691375606,-0.184593682,1.3496577833,-0.785342294
C42,C,7.08,5.7,2.13,3.87,2.91,5.04,0.23,0.36,0.56,0.12,0.9,0.67,0.13,0.19,0.22,0.26,0.23,0.28,0.2,0.2,0.04,0.11,0.26,0.15,0.15,0.4,0.27,0.04,0.13,0.57,0.59,0.03,-1.966912599,-1.674789838,-0.547282327,-1.094871749,-1.708036816,-1.855783748,-0.163155885,-0.756199421,0.7433590699,-0.844489397,-1.480462102,-0.08105509,-1.322002216,-0.362603261,-0.474617891,0.0591161589,-0.092570617,0.1234987872,0.4333637903,-0.256028344,-1.123443737,-0.873047964,-0.280960073,-0.889724997,-0.755519608,-0.288440799,0.0771701377,-1.365298542,-1.478869285,-1.222933144,0.0515136558,-1.115798012
C43,C,8.16,6.92,2.37,4.31,4.31,6.33,0.24,0.68,0.68,0.08,1.03,0.71,0.15,0.25,0.27,0.28,0.16,0.2,0.17,0.17,0.09,0.13,0.27,0.18,0.17,0.52,0.1,0.43,0.23,1.13,0.86,0.08,-0.214271762,0.3987894616,0.2469818341,-0.321331673,1.0381899662,0.4916630631,-0.027610996,2.1670949841,1.36250647,-1.0573362,-0.070306884,0.3566423951,-1.11508013,0.3011450815,0.1414726404,0.2871356288,-0.806686803,-0.661081743,0.0321927387,-0.623077829,-0.508170291,-0.635543732,-0.198053822,-0.532954082,-0.529491581,0.4622003158,-1.103532969,2.9007529847,-0.568277023,1.6844173498,1.303295493,-0.565038482
C44,C,7.62,5.9,2.04,3.88,3.41,5.44,0.16,0.28,0.66,0.13,1,0.67,0.27,0.18,0.28,0.23,0.2,0.3,0.2,0.23,0.12,0.23,0.29,0.2,0.12,0.36,0.35,0.25,0.22,0.45,0.79,0.2,-1.09059218,-1.334858806,-0.845131388,-1.077291292,-0.727241537,-1.127893264,-1.111970109,-1.487023022,1.2593152366,-0.791277697,-0.395727319,-0.08105509,0.1264523859,-0.473227985,0.2646907466,-0.282913046,-0.398620411,0.3196439197,0.4333637903,0.1110211404,-0.139006223,0.551977428,-0.03224132,-0.295106806,-1.094561648,-0.538654503,0.6327951291,0.9318061264,-0.659336249,-1.845936822,0.9787594611,0.7567843923
C45,C,7.47,6.27,2.26,3.77,3.05,5.35,0.28,0.52,0.78,0.14,1.03,0.65,0.35,0.45,0.31,0.36,0.4,0.35,0.26,0.3,0.07,0.23,0.28,0.2,0.16,0.62,0.32,0.12,0.19,0.79,0.77,0.11,-1.334014519,-0.705986395,-0.117055906,-1.270676311,-1.433414138,-1.291668623,0.5145685607,0.7054477817,1.8784626367,-0.738065996,-0.070306884,-0.299903832,0.9541407301,2.5136395576,0.6343450652,1.1992135087,1.6417115489,0.8100067511,1.2357058936,0.9674699378,-0.754279669,0.551977428,-0.115147571,-0.295106806,-0.642505594,1.0877345779,0.4244357574,-0.490211049,-0.932513928,-0.080759736,0.8860348806,-0.234582763
C46,C,7.43,6.05,1.96,3.83,3.29,5.55,0.2,0.46,0.72,0.14,1.02,0.64,0.34,0.25,0.18,0.23,0.2,0.23,0.13,0.13,0.18,0.23,0.09,0.16,0.21,0.45,0.28,0.06,0.26,0.82,0.89,0.01,-1.398927142,-1.079910531,-1.109886108,-1.165193574,-0.962632404,-0.927723381,-0.569790553,0.1573300808,1.5688889367,-0.738065996,-0.178780362,-0.409328203,0.8506796871,0.3011450815,-0.967490315,-0.282913046,-0.398620411,-0.366864044,-0.502701997,-1.112477142,0.5993219125,0.551977428,-1.690366339,-0.770801359,-0.077435528,0.0243263324,0.1466232616,-1.146526669,-0.295099344,0.0749911834,1.4423823638,-1.336101825
C47,C,7.93,6.23,1.83,3.92,3.32,5.48,0.21,0.44,0.59,0.16,1.14,0.62,0.21,0.23,0.27,0.27,0.22,0.3,0.14,0.23,0.12,0.17,0.36,0.25,0.19,0.69,0.54,0.04,0.18,0.89,0.82,0.1,-0.587519348,-0.773972601,-1.540112529,-1.006969467,-0.903784687,-1.055104216,-0.434245663,-0.025375819,0.8981459199,-0.631642595,1.1229013775,-0.628176946,-0.494313872,0.0798956339,0.1414726404,0.1731258939,-0.194587215,0.3196439197,-0.368978313,0.1110211404,-0.139006223,-0.160535268,0.548102437,0.2995113852,-0.303463554,1.5256085613,1.9524044838,-1.365298542,-1.023573154,0.4384099952,1.1178463319,-0.344734669
C48,C,7.95,6.14,2,3.86,3.54,5.9,0.23,0.65,0.09,0.47,1.14,0.67,0.34,0.18,0.22,0.24,0.21,0.33,0.2,0.25,0.23,0.24,0.34,0.18,0.21,0.6,0.23,0.08,0.25,0.97,0.46,0.07,-0.555063036,-0.926941566,-0.977508748,-1.112452205,-0.472234764,-0.290819207,-0.163155885,1.8930361337,-1.681634914,1.0179201252,1.1229013775,-0.08105509,0.8506796871,-0.473227985,-0.474617891,-0.168903311,-0.296603813,0.6138616186,0.4333637903,0.3557207968,1.2145953588,0.670729544,0.382289935,-0.532954082,-0.077435528,0.9626277255,-0.200642358,-0.927754795,-0.38615857,0.85374578,-0.551196118,-0.675190388
C49,C,7.35,6.52,2.29,3.97,3.24,5.72,0.26,0.51,0.72,0.17,0.98,0.72,0.21,0.23,0.27,0.19,0.23,0.24,0.16,0.23,0.16,0.21,0.3,0.29,0.08,0.55,0.43,0.19,0.19,0.57,1.12,0.15,-1.528752389,-0.281072604,-0.017772886,-0.919067186,-1.060711932,-0.618369925,0.2434787824,0.6140948316,1.5688889367,-0.578430894,-0.612674276,0.4660667663,-0.494313872,0.0798956339,0.1414726404,-0.738951986,-0.092570617,-0.268791478,-0.101530945,0.1110211404,0.353212534,0.314473196,0.0506649311,0.7752059381,-1.546617701,0.6498605945,1.1884201206,0.2754905069,-0.932513928,-1.222933144,2.5087150399,0.2060248615
C50,C,8.39,6.78,2.38,4.48,3.62,6.19,0.2,0.52,0.66,0.14,1.1,0.54,0.29,0.25,0.26,0.39,0.29,0.29,0.16,0.2,0.26,0.26,0.36,0.11,0.19,0.64,0.47,0.16,0.26,1.03,0.81,0.16,0.1589758235,0.1608377387,0.2800761742,-0.022463916,-0.315307519,0.2369013937,-0.569790553,0.7054477817,1.2593152366,-0.738065996,0.6890074642,-1.503571916,0.333374472,0.3011450815,0.0182545343,1.5412427137,0.5195289712,0.2215713534,-0.101530945,-0.256028344,1.5837594266,0.908233776,0.548102437,-1.36541955,-0.303463554,1.2128414303,1.4662326163,-0.052667303,-0.295099344,1.1652476187,1.0714840417,0.3161767677
